5	29C272.23	0.967	2024-04-15 21:32:18
5	29C272.23	0.978	2024-04-15 21:32:21
5	29C272.23	0.978	2024-04-15 21:32:24
5	29C272.23	0.979	2024-04-15 21:32:25
5	29C272.23	0.983	2024-04-15 21:32:27
5	29C272.23	0.983	2024-04-15 21:32:28
5	29C272.23	0.983	2024-04-15 21:32:29
5	29C272.23	0.983	2024-04-15 21:32:30
5	29C272.23	0.983	2024-04-15 21:32:31
5	29C272.23	0.983	2024-04-15 21:32:32
5	29C272.23	0.983	2024-04-15 21:32:33
5	29C272.23	0.983	2024-04-15 21:32:34
5	29C272.23	0.983	2024-04-15 21:32:35
5	29C272.23	0.983	2024-04-15 21:32:36
